Prüfung;Semester;Blatt;Aufgabe;Punkte
ExPhys1&2-25;1;1;1.1;5
ExPhys1&2-25;1;1;1.2;6
ExPhys1&2-25;1;1;1.3;4
ExPhys1&2-25;1;1;1.4;4
ExPhys1&2-25;1;1;1.5;4
ExPhys1&2-25;1;2;2.1;1
ExPhys1&2-25;1;2;2.2;4
ExPhys1&2-25;1;2;2.3;4
ExPhys1&2-25;1;2;2.4;2
ExPhys1&2-25;1;2;2.5;6
ExPhys1&2-25;1;3;3.1;2
ExPhys1&2-25;1;3;3.2;2
ExPhys1&2-25;1;3;3.3;2
ExPhys1&2-25;1;3;3.4;2
ExPhys1&2-25;1;4;4.1;6
ExPhys1&2-25;1;4;4.2;2
ExPhys1&2-25;1;4;4.3;2
ExPhys1&2-25;1;4;4.4;6
ExPhys1&2-25;1;4;4.5;4
ExPhys1&2-25;1;5;5.1;3
ExPhys1&2-25;1;5;5.2;2
ExPhys1&2-25;1;5;5.3;4
ExPhys1&2-25;1;5;5.4;2
ExPhys1&2-25;1;6;6.1;2
ExPhys1&2-25;1;6;6.2;2
ExPhys1&2-25;1;6;6.3;3
ExPhys1&2-25;1;6;6.4;3
ExPhys1&2-25;1;6;6.5;2
ExPhys1&2-25;1;7;7.1;3
ExPhys1&2-25;1;7;7.2;6
ExPhys1&2-25;1;7;7.3;2
ExPhys1&2-25;1;7;7.4;2
ExPhys1&2-25;1;8;8.1;2
ExPhys1&2-25;1;8;8.2;6
ExPhys1&2-25;1;8;8.3;6
ExPhys1&2-25;1;8;8.4;3
ExPhys1&2-25;1;8;8.5;3
ExPhys1&2-25;1;9;9.1;1
ExPhys1&2-25;1;9;9.2;2
ExPhys1&2-25;1;9;9.3;2
ExPhys1&2-25;1;9;9.4;1
ExPhys1&2-25;1;9;9.5;2
ExPhys1&2-25;1;10;10.1;1
ExPhys1&2-25;1;10;10.2;5
ExPhys1&2-25;1;10;10.3;1
ExPhys1&2-25;1;10;10.4;4
ExPhys1&2-25;1;10;10.5;1
ExPhys1&2-25;1;11;11.1;6
ExPhys1&2-25;1;11;11.2;10
ExPhys1&2-25;1;11;11.3;6
ExPhys1&2-25;1;11;11.4;6
ExPhys1&2-25;1;11;11.5;2
ExPhys1&2-25;2;1;1.1;3
ExPhys1&2-25;2;1;1.2;3
ExPhys1&2-25;2;2;2.1;3
ExPhys1&2-25;2;2;2.2;2
ExPhys1&2-25;2;2;2.3;2
ExPhys1&2-25;2;2;2.4;3
ExPhys1&2-25;2;3;3.1;3
ExPhys1&2-25;2;3;3.2;2
ExPhys1&2-25;2;3;3.3;2
ExPhys1&2-25;2;3;3.4;2
ExPhys1&2-25;2;3;3.5;2
ExPhys1&2-25;2;4;4.1;2
ExPhys1&2-25;2;4;4.2;4
ExPhys1&2-25;2;4;4.3;2
ExPhys1&2-25;2;4;4.4;1
ExPhys1&2-25;2;5;5.1;6
ExPhys1&2-25;2;5;5.2;3
ExPhys1&2-25;2;5;5.3;2
ExPhys1&2-25;2;5;5.4;6
ExPhys1&2-25;2;6;6.1;6
ExPhys1&2-25;2;6;6.2;6
ExPhys1&2-25;2;6;6.3;4
ExPhys1&2-25;2;6;6.4;3
ExPhys1&2-25;2;7;7.1;6
ExPhys1&2-25;2;7;7.2;3
ExPhys1&2-25;2;7;7.3;6
ExPhys1&2-25;2;7;7.4;2
ExPhys1&2-25;2;7;7.5;2
ExPhys1&2-25;2;8;8.1;3
ExPhys1&2-25;2;8;8.2;4
ExPhys1&2-25;2;8;8.3;6
ExPhys1&2-25;2;8;8.4;2
ExPhys1&2-25;2;8;8.5;4
ExPhys1&2-25;2;9;9.1;2
ExPhys1&2-25;2;9;9.2;3
ExPhys1&2-25;2;9;9.3;3
ExPhys1&2-25;2;9;9.4;3
ExPhys1&2-25;2;9;9.5;3
ExPhys1&2-25;2;10;10.1;3
ExPhys1&2-25;2;10;10.2;2
ExPhys1&2-25;2;10;10.3;2
ExPhys1&2-25;2;10;10.4;2
ExPhys1&2-25;2;10;10.5;2
ExPhys1&2-25;2;11;1;5
ExPhys1&2-25;2;11;2;2
ExPhys1&2-25;2;11;3;5
ExPhys1&2-25;2;11;4;2
ExPhys1&2-25;2;12;12.1;2
ExPhys1&2-25;2;12;12.2;2
ExPhys1&2-25;2;12;12.3;6
ExPhys1&2-25;2;12;12.4;4
